signal_event_time,timestamp,open,high,low,close,volume,close_time,quote_av,trades,taker_base_vol,taker_quote_vol,ignore
20230505_160000,2023-05-05 10:33,29100.5,29104.6,29096.3,29104.6,150.714,1.68E+12,4385713.621,1491,67.528,1965025.249,0
20230505_160000,2023-05-05 10:34,29104.6,29104.6,29096,29096.1,53.8,1.68E+12,1565583.726,770,20.966,610098.1763,0
20230505_160000,2023-05-05 10:35,29096.1,29096.1,29077.6,29077.7,183.144,1.68E+12,5327568.343,1724,21.21,616907.1265,0
20230505_160000,2023-05-05 10:36,29077.6,29077.7,29072.7,29074.9,137.836,1.68E+12,4007653.843,1505,68.279,1985223.097,0
20230505_160000,2023-05-05 10:37,29074.9,29074.9,29072.4,29072.4,50.513,1.68E+12,1468638.23,931,21.803,633913.9235,0
20230505_160000,2023-05-05 10:38,29072.5,29072.5,29066.7,29068.6,202.791,1.68E+12,5895123.916,1850,53.311,1549719.004,0
20230505_160000,2023-05-05 10:39,29068.7,29079.2,29059,29075,275.272,1.68E+12,8001557.894,2836,154.606,4494142.051,0
20230505_160000,2023-05-05 10:40,29075.1,29094,29073.8,29079.7,175.883,1.68E+12,5115459.741,2461,112.027,3258006.333,0
20230505_160000,2023-05-05 10:41,29079.8,29079.8,29064.3,29064.9,97.83,1.68E+12,2843786.172,1405,34.66,1007422.369,0
20230505_160000,2023-05-05 10:42,29064.9,29066.4,29053.3,29059.9,260.342,1.68E+12,7565647.664,2947,93.552,2718710.993,0
20230505_160000,2023-05-05 10:43,29059.9,29074,29059.9,29074,109.503,1.68E+12,3183278.292,1761,62.384,1813492.08,0
20230505_160000,2023-05-05 10:44,29074,29074,29068.6,29068.6,37.159,1.68E+12,1080227.329,766,14.808,430476.178,0
20230505_160000,2023-05-05 10:45,29068.7,29076.5,29068.6,29075.9,92.728,1.68E+12,2695870.886,1559,58.968,1714330.798,0
20230505_160000,2023-05-05 10:46,29076,29077.9,29068.8,29075.7,61.196,1.68E+12,1779199.794,1363,34.592,1005723.063,0
20230505_160000,2023-05-05 10:47,29075.7,29089.2,29075.6,29086.2,147.109,1.68E+12,4278499.613,1846,110.799,3222455.446,0
20230505_160000,2023-05-05 10:48,29086.2,29097.3,29086.2,29095.1,97.483,1.68E+12,2836103.062,1493,63.635,1851316.744,0
20230505_160000,2023-05-05 10:49,29095.1,29104,29095,29102.6,147.877,1.68E+12,4303444.189,2060,79.486,2313109.285,0
20230505_160000,2023-05-05 10:50,29102.5,29108,29096.8,29099.9,142.157,1.68E+12,4137218.983,2387,47.232,1374631.054,0
20230505_160000,2023-05-05 10:51,29099.9,29100,29090,29090.1,71.279,1.68E+12,2073677.54,935,21.562,627261.8539,0
20230505_160000,2023-05-05 10:52,29090.1,29091.6,29085.7,29087.7,74.153,1.68E+12,2157027.349,1466,40.259,1171066.509,0
20230505_160000,2023-05-05 10:53,29087.7,29087.8,29073.3,29073.4,89.016,1.68E+12,2588471.144,1414,18.494,537713.6878,0
20230505_160000,2023-05-05 10:54,29073.4,29077,29071.9,29075.9,88.851,1.68E+12,2583230.279,1588,43.895,1276195.955,0
20230505_160000,2023-05-05 10:55,29075.9,29079.7,29075.8,29079.7,85.059,1.68E+12,2473252.761,797,69.267,2014073.799,0
20230505_160000,2023-05-05 10:56,29079.6,29092.5,29079.6,29088.6,91.308,1.68E+12,2655984.411,1505,38.941,1132657.388,0
20230505_160000,2023-05-05 10:57,29088.6,29090.4,29073.2,29073.5,146.461,1.68E+12,4259480.984,1657,36.961,1074812.411,0
20230505_160000,2023-05-05 10:58,29073.5,29082,29073.4,29082,73.462,1.68E+12,2136131.915,988,32.781,953174.9195,0
20230505_160000,2023-05-05 10:59,29082,29100,29081.9,29095.5,121.449,1.68E+12,3533509.388,1673,76.686,2231094.031,0
20230505_160000,2023-05-05 11:00,29095.4,29100.7,29087.7,29087.8,204.478,1.68E+12,5949145.56,2242,92.095,2679491.217,0
20230505_160000,2023-05-05 11:01,29087.7,29087.8,29079.8,29086.8,120.965,1.68E+12,3518255.001,1579,43.03,1251542.522,0
20230505_160000,2023-05-05 11:02,29086.9,29087.8,29080.5,29080.6,80.185,1.68E+12,2332240.95,1403,32.797,953950.3706,0
20230505_160000,2023-05-05 11:03,29080.5,29094.7,29080.5,29094.7,75.067,1.68E+12,2183577.157,1489,53.565,1558097.357,0
20230505_160000,2023-05-05 11:04,29094.7,29094.7,29077,29081.6,142.642,1.68E+12,4148503.875,1774,22.148,644125.9773,0
20230505_160000,2023-05-05 11:05,29081.6,29081.6,29075.6,29077.9,83.816,1.68E+12,2437090.876,1378,36.307,1055668.366,0
20230505_160000,2023-05-05 11:06,29077.9,29085.1,29077.6,29085,86.187,1.68E+12,2506435.291,1475,56.198,1634305.629,0
20230505_160000,2023-05-05 11:07,29085,29091.9,29083.3,29088.6,100.451,1.68E+12,2921897.692,1668,42.866,1246886.746,0
20230505_160000,2023-05-05 11:08,29088.6,29093.8,29088.5,29093.7,62.237,1.68E+12,1810575.971,1281,40.17,1168611.303,0
20230505_160000,2023-05-05 11:09,29093.8,29097,29078.3,29095.7,238.608,1.68E+12,6941273.344,2358,127.831,3718722.365,0
20230505_160000,2023-05-05 11:10,29095.6,29099.4,29090.2,29092.1,162.039,1.68E+12,4714481.751,1970,104.327,3035365.863,0
20230505_160000,2023-05-05 11:11,29092,29096,29087.3,29095.9,74.118,1.68E+12,2156215.871,1243,35.353,1028498.942,0
20230505_160000,2023-05-05 11:12,29096,29135.5,29091.9,29129.9,1081.506,1.68E+12,31493463.55,7366,716.298,20857958.2,0
20230505_160000,2023-05-05 11:13,29129.9,29129.9,29111,29124.4,232.462,1.68E+12,6769992.467,3152,129.312,3765953.632,0
20230505_160000,2023-05-05 11:14,29124.5,29126.8,29121.8,29126,214.194,1.68E+12,6238270.99,2499,98.144,2858379.709,0
20230505_160000,2023-05-05 11:15,29125.9,29149.7,29122.1,29145.6,696.551,1.68E+12,20295516.19,7256,450.764,13133966.09,0
20230505_160000,2023-05-05 11:16,29145.6,29160.9,29136.1,29152.7,598.022,1.68E+12,17432085.5,6007,418.088,12187413.52,0
20230505_160000,2023-05-05 11:17,29152.7,29161.5,29142.5,29144.2,355.326,1.68E+12,10357733.58,3700,175.937,5128533.362,0
20230505_160000,2023-05-05 11:18,29144.2,29149,29136.1,29136.6,282.68,1.68E+12,8238243.988,3028,117.118,3413306.807,0
20230505_160000,2023-05-05 11:19,29136.6,29144.4,29130.7,29140.1,184.173,1.68E+12,5366223.961,2290,90.836,2646706.425,0
20230505_160000,2023-05-05 11:20,29140.1,29140.1,29129.1,29129.1,238.962,1.68E+12,6962022.201,2617,70.189,2044878.849,0
20230505_160000,2023-05-05 11:21,29129.2,29129.2,29103.6,29103.7,419.78,1.68E+12,12221206.81,4105,130.346,3794328.76,0
20230505_160000,2023-05-05 11:22,29103.7,29122.5,29103.6,29110.6,157.242,1.68E+12,4577574.91,2739,105.574,3073374.332,0
20230505_160000,2023-05-05 11:23,29110.6,29110.6,29102.3,29102.3,75.483,1.68E+12,2197036.011,1292,29.216,850375.2668,0
20230505_160000,2023-05-05 11:24,29102.3,29107.8,29099.1,29101.5,143.862,1.68E+12,4186657.022,1947,57.2,1664632.27,0
20230505_160000,2023-05-05 11:25,29101.4,29101.4,29084,29085.4,226.71,1.68E+12,6595616.384,3157,58.91,1713791.708,0
20230505_160000,2023-05-05 11:26,29085.5,29093.6,29085.4,29085.5,127.002,1.68E+12,3694074.039,1836,76.75,2232414.511,0
20230505_160000,2023-05-05 11:27,29085.6,29105,29085.5,29100.9,162.833,1.68E+12,4737940.908,2312,106.152,3088656.712,0
20230505_160000,2023-05-05 11:28,29100.9,29103,29081.2,29081.3,211.133,1.68E+12,6142424.124,2395,62.686,1823791.561,0
20230505_160000,2023-05-05 11:29,29081.2,29084.4,29077.1,29078.9,191.765,1.68E+12,5576619.941,2148,46.816,1361464.677,0
20230505_160000,2023-05-05 11:30,29078.9,29090,29078.9,29084.9,129.186,1.68E+12,3757368.735,2249,67.962,1976640.071,0
20230505_160000,2023-05-05 11:31,29085,29085,29066.2,29073.1,228.94,1.68E+12,6656236.286,2945,59.972,1743587.078,0
20230505_160000,2023-05-05 11:32,29073.1,29078.2,29070,29077.4,153.759,1.68E+12,4470509.389,2550,80.875,2351458.101,0
20230505_160000,2023-05-05 11:33,29077.4,29077.5,29062.6,29065.7,169.876,1.68E+12,4938181.974,2204,35.293,1026012.425,0
20230505_160000,2023-05-05 11:34,29065.6,29068.2,29055.6,29059.6,239.686,1.68E+12,6965628.808,3221,81.328,2363568.829,0
20230505_160000,2023-05-05 11:35,29059.6,29072.1,29054,29071,231.18,1.68E+12,6718672.078,3046,143.644,4174897.696,0
