et,xt,side,entry,exit,ret,reason,year,vr,mfe,giveback
2024-03-20 00:00:00+00:00,2024-03-20 04:31:00+00:00,1,61974.1,61637.776999999995,-0.0062268315312365005,trail/sl,2024,0.7305322996193785,0.025333163369859343,0.030759994901095843
2024-03-20 08:00:00+00:00,2024-03-20 16:28:00+00:00,1,62995.1,62516.5,-0.008397416306982583,trail/sl,2024,0.7513863061427325,0.023095447106203523,0.030692863413186108
2024-03-21 00:00:00+00:00,2024-03-22 06:05:00+00:00,-1,67876.4,66486.603,0.01967540824203982,trail/sl,2024,0.9118479595711895,0.04900525072042707,0.028529842478387253
2024-03-22 08:00:00+00:00,2024-03-22 10:26:00+00:00,1,66223.3,64898.834,-0.020800000000000003,trail/sl,2024,0.8929179472747054,0.002864550694393017,0.02286455069439302
2024-03-22 16:00:00+00:00,2024-03-22 21:36:00+00:00,1,63920.0,62641.6,-0.02080000000000002,trail/sl,2024,0.8729654510676841,0.0038798498122653317,0.023879849812265354
2024-03-23 00:00:00+00:00,2024-03-23 23:56:00+00:00,1,63826.1,64068.5,0.0029978193873666332,trail/sl,2024,0.8814527121680706,0.03484311277048106,0.03104529338311443
2024-03-24 00:00:00+00:00,2024-03-24 08:59:00+00:00,-1,64020.4,65300.808000000005,-0.020800000000000048,trail/sl,2024,0.8593624845742546,0.0030990121898645034,0.023099012189864553
2024-03-24 16:00:00+00:00,2024-03-24 21:57:00+00:00,-1,65718.6,66574.05,-0.013816862805963564,trail/sl,2024,0.8463794044376017,0.01648848271265678,0.029505345518620343
2024-03-25 00:00:00+00:00,2024-03-25 14:00:00+00:00,-1,67260.9,68420.42800000001,-0.018039257874932095,trail/sl,2024,0.8683129787197965,0.012389070024337891,0.029628327899269988
2024-03-25 16:00:00+00:00,2024-03-26 07:22:00+00:00,-1,69844.5,71241.39,-0.02079999999999999,trail/sl,2024,0.9118840660613658,0.004849343899662781,0.02484934389966277
2024-03-26 08:00:00+00:00,2024-03-27 13:15:00+00:00,-1,70535.0,71399.6,-0.013057744382221676,trail/sl,2024,0.9332622531524698,0.017225490891047,0.029483235273268675
2024-03-28 16:00:00+00:00,2024-03-30 08:20:00+00:00,-1,71335.2,70035.0,0.017426625845304945,trail/sl,2024,1.0076089486904338,0.03273559196581768,0.014508966120512733
2024-03-31 00:00:00+00:00,2024-04-01 05:10:00+00:00,1,69642.0,70423.0675,0.01041546624163586,trail/sl,2024,1.0467624547083756,0.02661468653973177,0.01539922029809591
2024-04-02 00:00:00+00:00,2024-04-02 02:34:00+00:00,1,69700.0,68306.0,-0.0208,trail/sl,2024,0.9850716652131565,0.0004533715925395383,0.02045337159253954
2024-04-02 08:00:00+00:00,2024-04-02 11:30:00+00:00,1,66503.4,65173.331999999995,-0.02079999999999999,trail/sl,2024,0.9171405864054077,0.0036780074402211894,0.02367800744022118
2024-04-02 16:00:00+00:00,2024-04-03 11:09:00+00:00,1,64928.2,65696.0525,0.011026178763619016,trail/sl,2024,1.06224821589352,0.02723469925240501,0.015408520488785995
2024-04-03 16:00:00+00:00,2024-04-04 08:19:00+00:00,-1,65873.9,66432.86649999999,-0.009285401653765681,trail/sl,2024,0.9117060989435994,0.01174820376507227,0.020233605418837952
2024-04-04 16:00:00+00:00,2024-04-04 18:00:00+00:00,-1,67631.7,68984.334,-0.02080000000000008,trail/sl,2024,0.8865224268006366,0.0017299579930712965,0.021729957993071376
2024-04-06 00:00:00+00:00,2024-04-09 00:01:00+00:00,1,67825.8,71663.2,0.05577729064751162,trail/sl,2024,1.0254794309900124,0.07467070052988672,0.0180934098823751
2024-04-09 08:00:00+00:00,2024-04-09 14:42:00+00:00,1,70444.1,69035.21800000001,-0.020799999999999964,trail/sl,2024,0.96461806550301,0.008577013546911623,0.02857701354691159
2024-04-09 16:00:00+00:00,2024-04-09 17:11:00+00:00,1,69322.8,68329.35149999999,-0.015130761307968131,trail/sl,2024,1.0068398920116224,0.0006794301441948575,0.015010191452162988
