et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2023-09-14 20:00:00,2023-09-15 08:00:00,2023-09-14 20:00:00,2023-09-15 09:00:00,-1,26568.8648,26644.200149379147,-0.0034694949044132084,-0.005432494052211119,3.402000000000266e-05,fibstop,26644.200149379147,2023,False,,0.00040938010181169106,0.0
2023-09-15 16:00:00,2023-09-16 08:00:00,2023-09-15 16:00:00,2023-09-16 10:04:00,1,26378.325373333337,26459.504,0.0025344846128778145,-0.0028972791961462446,-5.70099999999997e-05,fibstop,26459.504,2023,False,,0.00038691190016607653,0.0
2023-09-17 04:00:00,2023-09-17 12:00:00,2023-09-17 04:00:00,2023-09-17 13:07:00,1,26468.194,26541.276689124843,0.0021497313322308056,0.0002949200085204338,1.1420000000001568e-05,fibstop,26541.276689124843,2023,False,,0.00015614314523771468,0.0
2023-09-18 16:00:00,2023-09-19 00:00:00,2023-09-18 16:00:00,2023-09-19 00:05:00,-1,26833.728959999997,26763.311946548092,0.002048877835376231,-0.017257051403116005,-2.4679999999999147e-05,fibstop,26763.311946548092,2023,False,,0.0004542239962190566,0.0
2023-09-19 16:00:00,2023-09-20 08:00:00,2023-09-19 16:00:00,2023-09-20 08:10:00,-1,27205.06916,27105.203298573357,0.0030069448998462592,-0.00983018416263423,6.391000000000036e-05,fibstop,27105.203298573357,2023,False,,0.0011535981802531978,0.0
2023-09-20 20:00:00,2023-09-21 04:00:00,2023-09-20 20:00:00,2023-09-21 04:06:00,1,27085.944,26983.92241344012,-0.0043662978124786875,-0.00680958359804626,-2.9000000000001247e-07,fibstop,26983.92241344012,2023,False,,0.0011006821150116029,0.0
2023-09-23 20:00:00,2023-09-24 08:00:00,2023-09-23 20:00:00,2023-09-24 08:58:00,-1,26567.57174,26580.100048014727,-0.0010382739102185942,-0.001220595556016765,-3.328999999999832e-05,fibstop,26580.100048014727,2023,False,,0.00010006004943608945,0.0
2023-09-24 20:00:00,2023-09-25 04:00:00,2023-09-24 20:00:00,2023-09-25 04:26:00,-1,26238.58282,26183.435450785884,0.0014891663031739637,-0.010420424832990289,1.2600000000001499e-05,fibstop,26183.435450785884,2023,False,,0.0005917199740157488,0.0
2023-09-26 00:00:00,2023-09-26 08:00:00,2023-09-26 00:00:00,2023-09-26 09:46:00,-1,26352.765,26314.735867902076,0.0008309293921595388,-0.0013370513492607164,1.2149999999998967e-05,fibstop,26314.735867902076,2023,False,,0.00016192865737381105,0.0
2023-09-27 16:00:00,2023-09-28 20:00:00,2023-09-27 16:00:00,2023-09-28 21:25:00,1,26235.082939999997,26912.651689342056,0.02528320941168886,-0.005148942746204888,-5.638999999999991e-05,fibstop,26912.651689342056,2023,False,,0.0006154827922960954,0.0
2023-09-29 16:00:00,2023-09-30 00:00:00,2023-09-29 16:00:00,2023-09-30 00:00:00,1,26892.59922,26884.123708720672,-0.0009215914765829336,-0.006009059171930799,6.430000000001712e-06,fibstop,26884.123708720672,2023,False,,0.000641262096453755,0.0
2023-09-30 16:00:00,2023-10-01 00:00:00,2023-09-30 16:00:00,2023-10-01 01:26:00,-1,27024.724000000002,26992.94934606791,0.0005787123845516656,-0.001690156021574891,-2.9500000000015625e-06,fibstop,26992.94934606791,2023,False,,0.00040148781567679354,0.0
2023-10-01 12:00:00,2023-10-01 20:00:00,2023-10-01 12:00:00,2023-10-01 22:15:00,-1,27155.042299999997,27290.817511499994,-0.005622629999999877,-0.0023810568691326763,2.262999999999918e-05,fibstop,27290.817511499994,2023,False,,0.0002651208595707696,0.0
2023-10-02 00:00:00,2023-10-02 04:00:00,2023-10-02 00:00:00,2023-10-02 07:43:00,-1,28165.96188,28350.191676025137,-0.0071408664830990695,-0.002309103458887486,-0.0,fibstop,28350.191676025137,2023,False,,0.0007374176074193757,0.0
2023-10-03 00:00:00,2023-10-03 08:00:00,2023-10-03 00:00:00,2023-10-03 11:24:00,1,27545.8748,27513.198,-0.0018029383700283533,-0.006526378316364194,1.666999999999988e-05,fibstop,27513.198,2023,False,,0.00044520688739861197,0.0
2023-10-03 16:00:00,2023-10-04 00:00:00,2023-10-03 16:00:00,2023-10-04 00:05:00,1,27222.61942,27374.08393223048,0.004903611307264088,-0.0036594355033597674,6.031000000000092e-05,fibstop,27374.08393223048,2023,False,,0.0007107816656821237,0.0
2023-10-04 12:00:00,2023-10-04 16:00:00,2023-10-04 12:00:00,2023-10-04 16:37:00,-1,27403.13524,27585.180806643726,-0.007271808631249642,-0.007891971415165773,2.8569999999998597e-05,fibstop,27585.180806643726,2023,False,,0.0002753301925583596,0.0
2023-10-04 20:00:00,2023-10-05 08:00:00,2023-10-04 20:00:00,2023-10-05 09:18:00,-1,27780.585799999997,27685.294,0.0027494080494388064,-0.0039385130604410405,8.075000000000096e-05,fibstop,27685.294,2023,False,,0.0008463488502648306,0.0
2023-10-05 16:00:00,2023-10-06 04:00:00,2023-10-05 16:00:00,2023-10-06 07:44:00,-1,27486.117799999996,27577.795267015226,-0.003969489812411919,-0.004503444280516222,3.4079999999998833e-05,fibstop,27577.795267015226,2023,False,,0.0011388912041440582,0.0
2023-10-06 16:00:00,2023-10-06 20:00:00,2023-10-06 16:00:00,2023-10-06 21:38:00,-1,27964.96024,28161.140278650448,-0.0076152089245540575,-0.002325759072847502,-0.0,fibstop,28161.140278650448,2023,False,,0.0008802090140370058,0.0
2023-10-07 00:00:00,2023-10-07 08:00:00,2023-10-07 00:00:00,2023-10-07 08:14:00,-1,27928.943600000002,27888.04336301908,0.0008929290982594867,-0.0005605797420850608,-2.848999999999907e-05,fibstop,27888.04336301908,2023,False,,0.0003531850574664757,0.0
2023-10-08 04:00:00,2023-10-08 12:00:00,2023-10-08 04:00:00,2023-10-08 12:17:00,-1,27919.6244,27834.400747325857,0.0024622041539999924,-0.005081572658978872,-9.740000000001137e-06,fibstop,27834.400747325857,2023,False,,0.00029601899908982785,0.0
2023-10-08 16:00:00,2023-10-09 00:00:00,2023-10-08 16:00:00,2023-10-09 00:09:00,1,27868.316600000002,27884.12658702285,-7.260955747233463e-05,-0.003154715129079611,3.9919999999998845e-05,fibstop,27884.12658702285,2023,False,,0.0002577147627639921,0.0
2023-10-09 20:00:00,2023-10-10 04:00:00,2023-10-09 20:00:00,2023-10-10 04:18:00,1,27553.8392,27599.387868797498,0.0009895888492624648,-0.0026072301387313943,6.348999999999938e-05,fibstop,27599.387868797498,2023,False,,0.0004014847302602965,0.0
2023-10-10 20:00:00,2023-10-11 00:00:00,2023-10-10 20:00:00,2023-10-11 02:33:00,1,27357.650600000004,27220.862347000006,-0.005659179999999955,-0.0018112154703812883,5.9179999999998956e-05,fibstop,27220.862347000006,2023,False,,0.0005163913702931102,0.0
